                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:lda     |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:lda     |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:lda     |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:lda     |   4:-       
   10:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r1=1  
   11:    8:lda     |   8:-       |   8:-       |   8:-       |   8:-       
   12:   12:-       |   8:lda     |   8:-       |   8:-       |   8:-       
   13:   12:-       |  12:-       |   8:lda     |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
   14:   12:-       |  12:-       |  12:-       |   8:lda     |   8:-       
   15:   12:-       |  12:-       |  12:-       |  12:-       |   8:lda     r2=5  
   16:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   17:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   18:   12:lda     |  12:-       |  12:-       |  12:-       |  12:-       
   19:   16:-       |  12:lda     |  12:-       |  12:-       |  12:-       
   20:   16:-       |  16:-       |  12:lda     |  12:-       |  12:-       
   21:   16:-       |  16:-       |  16:-       |  12:lda     |  12:-       
   22:   16:-       |  16:-       |  16:-       |  16:-       |  12:lda     r3=2  
   23:   16:lda     |  16:-       |  16:-       |  16:-       |  16:-       
   24:   20:-       |  16:lda     |  16:-       |  16:-       |  16:-       
   25:   20:-       |  20:-       |  16:lda     |  16:-       |  16:-       BUS_LOAD  MEM[16] accepted 1
   26:   20:-       |  20:-       |  20:-       |  16:lda     |  16:-       
   27:   20:-       |  20:-       |  20:-       |  20:-       |  16:lda     r4=8  
   28:   20:-       |  20:-       |  20:-       |  20:-       |  20:-       
   29:   20:-       |  20:-       |  20:-       |  20:-       |  20:-       
   30:   20:addq    |  20:-       |  20:-       |  20:-       |  20:-       
   31:   24:-       |  20:addq    |  20:-       |  20:-       |  20:-       
   32:   24:-       |  24:-       |  20:addq    |  20:-       |  20:-       
   33:   24:-       |  24:-       |  24:-       |  20:addq    |  20:-       
   34:   24:-       |  24:-       |  24:-       |  24:-       |  20:addq    r4=10  
   35:   24:subq    |  24:-       |  24:-       |  24:-       |  24:-       
   36:   28:-       |  24:subq    |  24:-       |  24:-       |  24:-       
   37:   28:-       |  28:-       |  24:subq    |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
   38:   28:-       |  28:-       |  28:-       |  24:subq    |  24:-       
   39:   28:-       |  28:-       |  28:-       |  28:-       |  24:subq    r6=8  
   40:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   41:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   42:   28:subq    |  28:-       |  28:-       |  28:-       |  28:-       
   43:   32:-       |  28:subq    |  28:-       |  28:-       |  28:-       
   44:   32:-       |  32:-       |  28:subq    |  28:-       |  28:-       
   45:   32:-       |  32:-       |  32:-       |  28:subq    |  28:-       
   46:   32:-       |  32:-       |  32:-       |  32:-       |  28:subq    r2=4  
   47:   32:addq    |  32:-       |  32:-       |  32:-       |  32:-       
   48:   36:-       |  32:addq    |  32:-       |  32:-       |  32:-       
   49:   36:-       |  36:-       |  32:addq    |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   50:   36:-       |  36:-       |  36:-       |  32:addq    |  32:-       
   51:   36:-       |  36:-       |  36:-       |  36:-       |  32:addq    r6=18  
   52:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
   53:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
   54:   36:mulq    |  36:-       |  36:-       |  36:-       |  36:-       
   55:   40:-       |  36:mulq    |  36:-       |  36:-       |  36:-       
   56:   40:-       |  40:-       |  36:mulq    |  36:-       |  36:-       
   57:   40:-       |  40:-       |  40:-       |  36:mulq    |  36:-       
   58:   40:-       |  40:-       |  40:-       |  40:-       |  36:mulq    r4=4  
